ID,PRE/POST,ENVIRONMENT,FILENAME,HAS_ATTACHMENTS,REQUESTER,DURATION,CM_AM,CM_IT,CM_UAT,CM_TST5,CM_ST,CM_DEVE2E,CM_COURTESY,CM_PT,CM_CATALOG,CM_ACNDEVOPS,CM_PROD
38,POST,ALIGNMENT,20220831_CGA_ONLY TV_TEMPLATE 4 PROSPECT_PARCO_Netflix.txt,TRUE,lorenzo.bellinzona,5,,X,X,,X,,,,,,
39,POST,ALIGNMENT,20220831_CGA_ONLYTV_TEMPLATE4PROSPECT_PARCO_Netflix.txt,TRUE,lorenzo.bellinzona,5,,X,X,,X,,,,,,
40,POST,ALIGNMENT,2022_08_23_MP_PriceListEntry.txt,TRUE,federico.santurbano,10,x,,x,,,,,,,,
41,POST,ALIGNMENT,2022.08.18_MVP_ManualProcedures_PostDeploymentStep.txt,FALSE,Tejaswini Kasar,5,x,,,,,,,,,,x
42,PRE,ALIGNMENT,2022.08.18_MVP_ManualProcedures_PreDeploymentStep.txt,FALSE,Tejaswini Kasar,5,x,,,,,,,,,,x
43,POST,ALIGNMENT,20220831_CGA_ONLY_TV_TEMPLATE_4_PROSPECT_PARCO_Netflix_v03.txt,TRUE,lorenzo.bellinzona,5,,X,X,,X,,,,,,
44,POST,ALIGNMENT,2022.08.31_MVP_ManualProcedures_PostDeploymentStep.txt,FALSE,Tejaswini Kasar,60,x,,,,,,,,,,x
45,PRE,ALIGNMENT,2022.08.31_MVP_ManualProcedures_PreDeploymentStep.txt,FALSE,Tejaswini Kasar,15,x,,,,,,,,,,x
46,POST,ALIGNMENT,20220818_MP_Disattivare-Riattivare-OS-LLAMA.txt,FALSE,paolo.occhetto,5,,,,,,,,,,,
47,POST,ALIGNMENT,20220818_MP_Disattivare-Riattivare-OS-LLAMA.txt,FALSE,paolo.occhetto,6,,,,,,,,,,x,
48,POST,ALIGNMENT,20220907_Script_RunScriptRecurringPrice.txt,FALSE,lorenzo.bellinzona,5,x,,,,,,,,,,
49,POST,ALIGNMENT,2022.09.09_AdvancedRules_disactivated_Uptech.txt,FALSE,federica.giacalone,5,,x,,,,,,,x,,
50,POST,ALIGNMENT,2022.09.05_Attribute_Override_RecommitmentDrop3.txt,FALSE,iman.moutaouakil,5,,x,,,,,,x,,,
51,PRE,ALIGNMENT,07.09.2022 Recommitment drop 3 Adjustment.txt,FALSE,iman.moutaouakil,5,,x,,,,,,x,,,
52,POST,ALIGNMENT,20220921_MP_Disattivare-Riattivare-OS-CambioConsistenzaNPP.txt,FALSE,lorenzo.bellinzona,5,,X,,,X,,,,,,
53,POST,ALIGNMENT,20220818_MP_Disattivare-Riattivare-OS-LLAMA.txt,FALSE,alessandro.ferrari,5,,,,,,,,,,,x
54,POST,ALIGNMENT,2022.09.22_FinanceUserDSPermissionSet.txt,FALSE,nicolle.martinez,5,x,,,,,,,,,,x
